,0
1606,"Former employees of Thomas Cook protested at parliament on Wednesday, demanding to be paid the money they are owed. The employees say they have not been paid since the company went into liquidation last month."
1607,The article discusses the EU's contribution of 530 million euros to a 1 billion euro power line between Ireland and France. The power line is intended to improve the flow of electricity between the two countries.
1608,The Church of Jesus Christ of Latter-day Saints announced that women will now be able to take on a greater role in key ceremonies. Women will be able to serve as witnesses in temple ceremonies and give blessings to their children and others.
1609,"It is an article about John Dean, a former Nixon White House counsel, and his thoughts on the current whistleblower situation. He believes that the Justice Department is not doing enough to protect the whistleblower."
1610,"Fine Gael is the only obstacle to social and affordable housing, say protestors. The Irish government has been accused of putting ideology before people's needs."
1611,The article discusses how the White House has been subpoenaed for documents related to the impeachment inquiry against President Trump. The subpoena was issued by the House Democrats leading the impeachment inquiry.
1612,"North Korea is suspected of launching a submarine-based missile, which would be a major advancement in their military capabilities. The launch is seen as a provocation by the international community."
1613,"Mark Cuthbert, a photographer for the UK Press Association, has been documenting the effects of the coronavirus pandemic in Glasgow, Scotland. In this article, he shares some of his photos and experiences."
1614,The Kardashians are selling their clothes online. The clothes are from their own personal closets and are available to purchase on their website.
1615,"This story is about Amazon's potential to license its ""Go"" technology to other retailers. The technology allows customers to shop without having to wait in line or go through a checkout process."
1616,"Information accidentally released by the Scottish government shows that the number of people dying from drug overdoses in the country has increased by 27% in the last year. The total number of drug-related deaths in 2018 was 867, the highest since records began."
1617,"On her way home from work one evening, a woman is accosted by a man who demands her phone. She refuses, and he eventually leaves empty-handed. The whole incident is captured on video by a nearby security camera, and she is able to share the footage with the police."
1618,Defending champions New Zealand have been drawn against South Africa in the opening game of the Rugby World Cup in Japan. The tournament will run from 20 September to 2 November.
1619,Rawpixel.com/Shutterstock Which fast food chain has the best bathrooms according to customers? Business Insider asked customers to rate the cleanliness of bathrooms at different fast food chains. Chick-fil-A and In-N-Out had the highest ratings.
1620,"The first woman to receive the Pritzker Prize in Architecture was Zaha Hadid. The second is Cornelia Hahn Oberlander, who has been awarded the 2020 prize."
1621,PM says that the UK wants no checks at or near the Irish border. He also says that the UK is committed to finding a way to leave the EU that doesn't involve checks on the border.
1622,"A hack of the popular Words with Friends app has exposed the data of 200 million users. The data includes names, email addresses, login IDs, and hashed passwords."
